Lemma	PoS	Freq(ipm)	R	D	Doc
арочный	a	0.9	43	83	61
арсенал	s	12.7	95	82	636
арсенальный	a	0.4	14	50	15
Арсений	s.PROP	5.0	54	76	117
Арсеньев	s.PROP	2.5	38	63	55
арт	s	1.8	49	80	88
Артамонов	s.PROP	1.8	39	76	65
артачиться	v	0.4	28	82	35
арт-директор	s	1.2	38	84	82
артезианский	a	0.8	44	84	58
артель	s	6.2	89	89	277
артельный	a	1.0	39	72	47
артельщик	s	0.7	20	56	24
Артем	s.PROP	17.3	70	64	191
артериальный	a	2.8	56	69	113
артерия	s	8.6	87	41	217
артефакт	s	1.1	38	79	58
артикул	s	0.5	26	77	30
артикулировать	v	0.8	40	82	62
артикуляция	s	1.0	46	85	69
артиллерийский	a	12.6	95	92	451
артиллерист	s	5.9	80	86	175
артиллерия	s	13.7	93	89	415
артист	s	98.0	99	88	1672
артистизм	s	2.2	70	89	146
артистическая	s	0.7	24	72	30
артистически	adv	0.5	36	85	44
артистический	a	6.3	90	89	323
артистично	adv	0.5	37	85	46
артистичность	s	0.6	33	82	40
артистичный	a	1.8	63	88	131
артистка	s	11.6	88	88	384
артобстрел	s	0.5	35	84	44
артподготовка	s	1.1	41	83	56
артрит	s	1.1	49	84	74
Артур	s.PROP	19.5	90	52	305
арфа	s	2.6	67	84	127
архаизм	s	0.4	28	82	35
архаика	s	1.2	40	76	65
архаический	a	2.5	64	80	134
архаичный	a	3.5	78	77	193
архангел	s	3.0	73	84	136
Архангельск	s.PROP	5.7	87	84	255
архангельский	a	8.9	92	90	411
археолог	s	5.6	86	84	233
археологический	a	3.5	78	89	192
археология	s	2.8	73	85	129
архетип	s	2.6	52	73	106
архетипический	a	0.7	29	62	41
архив	s	35.3	100	93	1130
архивариус	s	0.7	25	72	30
архивист	s	0.5	27	78	32
архивный	a	6.2	87	90	319
архиепископ	s	10.5	66	80	271
архиерей	s	5.3	72	75	183
архиерейский	a	3.4	51	74	136
архимандрит	s	5.5	57	75	138
архипастырский	a	0.5	21	71	28
архипастырь	s	2.2	38	76	72
архипелаг	s	5.7	74	76	177
Архипов	s.PROP	3.4	52	67	77
архистратиг	s	0.4	17	73	20
архитектоника	s	0.6	31	80	48
архитектор	s	33.3	99	91	1067
архитектура	s	34.3	99	87	1249
архитектурно-планировочный	a	0.4	23	79	30
архитектурно-строительный	a	0.8	32	80	58
архитектурный	a	21.1	97	89	878
аршин	s	3.6	83	87	173
аршинный	a	0.5	31	83	41
арык	s	1.2	36	81	49
арьергард	s	0.9	41	72	52
ас	s	6.0	88	88	252
асана	s	1.1	13	45	13
асбест	s	1.2	24	42	30
асбестовый	a	0.5	17	62	18
Асеев	s.PROP	2.2	40	75	61
асимметричный	a	2.6	67	85	150
асимметрия	s	2.4	50	60	94
асинхронный	a	0.6	21	74	28
аскеза	s	0.8	38	79	48
аскер	s	0.7	5	21	5
аскет	s	1.6	57	84	100
аскетизм	s	1.7	58	87	122
аскетический	a	2.6	74	82	151
аскетичный	a	0.9	49	87	77
аскорбиновый	a	0.7	31	81	47
Аслан	s.PROP	3.1	49	75	116
асоциальный	a	0.8	45	84	54
аспект	s	35.6	98	86	1770
аспид	s	0.7	18	42	22
аспирант	s	8.3	91	90	374
аспирантка	s	3.2	62	45	82
аспирантский	a	0.7	34	82	47
аспирантура	s	7.5	93	89	336
аспирин	s	2.6	70	87	132
асс	s	0.6	26	65	32
ассамблея	s	5.2	71	85	249
ассасин	s	0.4	6	14	6
ассенизатор	s	0.4	25	80	31
ассигнация	s	1.6	56	85	90
ассигнование	s	3.5	70	89	217
ассигновать	v	0.5	30	80	38
ассимилировать	v	0.7	27	76	43
ассимилироваться	v	0.5	33	82	40
ассимиляция	s	1.6	48	82	85
ассириец	s	0.4	21	74	25
ассирийский	a	0.8	40	82	49
ассистент	s	8.4	92	88	295
ассистентка	s	1.5	49	78	70
ассистировать	v	1.3	48	78	70
ассорти	s	0.7	31	78	44
ассортимент	s	14.5	94	89	815
ассортиментный	a	0.8	38	81	61
ассоциативный	a	2.9	66	81	147
ассоциация	s	44.9	99	92	1943
ассоциированный	a	1.4	36	76	77
ассоциировать	v	1.8	56	85	136
ассоциироваться	v	7.2	95	92	553
Астана	s.PROP	1.9	36	65	67
Астафьев	s.PROP	4.0	54	75	109
астероид	s	1.5	42	78	57
астма	s	2.8	79	90	184
астматик	s	0.5	25	68	30
астматический	a	0.4	30	80	34
Астория	s.PROP	1.9	51	80	82
астра	s	3.8	79	65	151
астрал	s	0.6	22	68	25
астральный	a	1.4	50	81	76
астраханский	a	6.7	72	83	250
Астрахань	s.PROP	5.6	77	83	212
астровирус	s	0.4	4	9	4
астролог	s	3.4	63	81	118
астрологический	a	1.1	50	86	82
астрология	s	1.2	47	83	69
астронавт	s	1.7	36	73	56
астроном	s	6.2	74	81	167
астрономический	a	5.7	91	86	271
астрономия	s	6.4	73	73	169
астрофизик	s	1.4	33	70	44
астрофизика	s	1.7	32	59	48
астрофизический	a	0.8	17	61	26
АСУ	s.PROP	1.7	38	77	73
асфальт	s	29.1	96	92	1079
асфальтировать	v	1.4	68	89	107
асфальтовый	a	4.3	85	91	264
аська	s	2.0	18	59	41
Ася	s.PROP	12.4	78	78	158
атавизм	s	0.8	50	88	71
атака	s	42.7	100	92	1461
атаковать	v	14.9	98	90	632
атаман	s	5.8	84	87	176
атас	intj	0.7	36	82	48
атеизм	s	2.8	76	87	173
атеист	s	4.6	87	90	265
атеистический	a	2.0	64	86	127
ателье	s	4.1	85	89	225
атеросклероз	s	1.1	50	87	75
атипичный	a	1.2	35	78	56
атлант	s	1.7	47	77	76
Атланта	s.PROP	1.8	56	84	94
Атлантида	s.PROP	3.2	62	61	100
Атлантика	s.PROP	4.2	80	86	179
атлантический	a	4.1	82	90	237
атлас	s	5.8	86	81	238
атласный	a	2.8	71	88	157
атлет	s	2.5	74	88	151
атлетика	s	2.3	59	84	128
атлетический	a	1.3	54	84	83
атмосфера	s	56.4	100	93	2293
атмосферный	a	6.2	79	85	324
атолл	s	0.8	31	76	38
атом	s	20.5	90	74	442
атомарный	a	0.8	26	75	46
атомный	a	32.4	98	87	916
атомоход	s	0.9	25	59	37
атомщик	s	0.9	30	75	41
